,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.922,0.040,23.105,0.000,0.844,1.000
C(metric)[T.ddtw],-0.050,0.036,-1.406,0.160,-0.120,0.020
C(metric)[T.dtw],-0.032,0.036,-0.890,0.374,-0.101,0.038
C(metric)[T.edr],-0.075,0.036,-2.103,0.035,-0.144,-0.005
C(metric)[T.erp],-0.011,0.036,-0.300,0.764,-0.080,0.059
C(metric)[T.euclidean],-0.036,0.036,-1.023,0.306,-0.106,0.033
C(metric)[T.lcss],-0.254,0.036,-7.161,0.000,-0.324,-0.185
C(metric)[T.manhattan],-0.034,0.036,-0.956,0.339,-0.104,0.036
C(metric)[T.minkowski],-0.036,0.036,-1.023,0.306,-0.106,0.033
C(metric)[T.msm],-0.010,0.036,-0.268,0.789,-0.079,0.060
C(metric)[T.sbd],-0.012,0.036,-0.341,0.733,-0.082,0.058
C(metric)[T.shape_dtw],-0.003,0.036,-0.074,0.941,-0.072,0.067
C(metric)[T.twe],-0.004,0.036,-0.106,0.916,-0.073,0.066
C(metric)[T.wddtw],-0.038,0.036,-1.065,0.287,-0.107,0.032
C(metric)[T.wdtw],-0.017,0.036,-0.473,0.636,-0.086,0.053
C(classifier)[T.svm],-0.075,0.036,-2.115,0.034,-0.145,-0.005
C(noise_type)[T.missing],-0.000,0.036,-0.000,1.000,-0.070,0.070
C(noise_type)[T.outlier],-0.000,0.036,-0.000,1.000,-0.070,0.070
C(intensity)[T.0.05],-0.057,0.036,-1.607,0.108,-0.127,0.013
C(intensity)[T.0.1],-0.076,0.036,-2.144,0.032,-0.146,-0.007
C(intensity)[T.0.2],-0.122,0.036,-3.427,0.001,-0.191,-0.052
C(intensity)[T.0.4],-0.207,0.036,-5.821,0.000,-0.276,-0.137
C(metric)[T.ddtw]:C(classifier)[T.svm],0.029,0.050,0.579,0.562,-0.069,0.128
C(metric)[T.dtw]:C(classifier)[T.svm],-0.042,0.050,-0.827,0.408,-0.140,0.057
C(metric)[T.edr]:C(classifier)[T.svm],0.055,0.050,1.098,0.272,-0.043,0.154
C(metric)[T.erp]:C(classifier)[T.svm],0.038,0.050,0.765,0.444,-0.060,0.137
C(metric)[T.euclidean]:C(classifier)[T.svm],0.020,0.050,0.395,0.693,-0.079,0.118
C(metric)[T.lcss]:C(classifier)[T.svm],0.084,0.050,1.666,0.096,-0.015,0.182
C(metric)[T.manhattan]:C(classifier)[T.svm],0.047,0.050,0.935,0.350,-0.052,0.145
C(metric)[T.minkowski]:C(classifier)[T.svm],0.020,0.050,0.395,0.693,-0.079,0.118
C(metric)[T.msm]:C(classifier)[T.svm],0.058,0.050,1.153,0.249,-0.041,0.156
C(metric)[T.sbd]:C(classifier)[T.svm],-0.003,0.050,-0.069,0.945,-0.102,0.095
C(metric)[T.shape_dtw]:C(classifier)[T.svm],-0.031,0.050,-0.626,0.531,-0.130,0.067
C(metric)[T.twe]:C(classifier)[T.svm],0.054,0.050,1.075,0.283,-0.044,0.152
C(metric)[T.wddtw]:C(classifier)[T.svm],0.020,0.050,0.391,0.696,-0.079,0.118
C(metric)[T.wdtw]:C(classifier)[T.svm],-0.061,0.050,-1.220,0.223,-0.160,0.037
C(metric)[T.ddtw]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.dtw]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.edr]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.erp]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.euclidean]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.lcss]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.manhattan]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.minkowski]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.msm]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.sbd]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.shape_dtw]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.twe]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.wddtw]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.wdtw]:C(noise_type)[T.missing],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.ddtw]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.dtw]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.edr]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.erp]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.euclidean]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.lcss]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.manhattan]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.minkowski]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.msm]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.sbd]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.shape_dtw]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.twe]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.wddtw]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(metric)[T.wdtw]:C(noise_type)[T.outlier],0.000,0.050,0.000,1.000,-0.098,0.098
C(classifier)[T.svm]:C(noise_type)[T.missing],-0.000,0.050,-0.000,1.000,-0.098,0.098
C(classifier)[T.svm]:C(noise_type)[T.outlier],-0.000,0.050,-0.000,1.000,-0.098,0.098
C(metric)[T.ddtw]:C(intensity)[T.0.05],-0.079,0.050,-1.576,0.115,-0.178,0.019
C(metric)[T.dtw]:C(intensity)[T.0.05],0.014,0.050,0.287,0.774,-0.084,0.113
C(metric)[T.edr]:C(intensity)[T.0.05],0.049,0.050,0.977,0.329,-0.049,0.148
C(metric)[T.erp]:C(intensity)[T.0.05],0.006,0.050,0.113,0.910,-0.093,0.104
C(metric)[T.euclidean]:C(intensity)[T.0.05],0.002,0.050,0.043,0.966,-0.096,0.101
C(metric)[T.lcss]:C(intensity)[T.0.05],0.067,0.050,1.327,0.185,-0.032,0.165
C(metric)[T.manhattan]:C(intensity)[T.0.05],0.004,0.050,0.086,0.931,-0.094,0.103
C(metric)[T.minkowski]:C(intensity)[T.0.05],0.002,0.050,0.043,0.966,-0.096,0.101
C(metric)[T.msm]:C(intensity)[T.0.05],0.005,0.050,0.098,0.922,-0.094,0.103
C(metric)[T.sbd]:C(intensity)[T.0.05],-0.000,0.050,-0.010,0.992,-0.099,0.098
C(metric)[T.shape_dtw]:C(intensity)[T.0.05],0.002,0.050,0.031,0.975,-0.097,0.100
C(metric)[T.twe]:C(intensity)[T.0.05],0.003,0.050,0.065,0.949,-0.095,0.102
C(metric)[T.wddtw]:C(intensity)[T.0.05],-0.083,0.050,-1.648,0.099,-0.181,0.016
C(metric)[T.wdtw]:C(intensity)[T.0.05],0.010,0.050,0.196,0.844,-0.089,0.108
C(metric)[T.ddtw]:C(intensity)[T.0.1],-0.156,0.050,-3.100,0.002,-0.254,-0.057
C(metric)[T.dtw]:C(intensity)[T.0.1],0.014,0.050,0.287,0.774,-0.084,0.113
C(metric)[T.edr]:C(intensity)[T.0.1],0.043,0.050,0.862,0.389,-0.055,0.142
C(metric)[T.erp]:C(intensity)[T.0.1],0.006,0.050,0.119,0.906,-0.093,0.104
C(metric)[T.euclidean]:C(intensity)[T.0.1],0.004,0.050,0.071,0.943,-0.095,0.102
C(metric)[T.lcss]:C(intensity)[T.0.1],0.101,0.050,2.013,0.044,0.003,0.200
C(metric)[T.manhattan]:C(intensity)[T.0.1],0.003,0.050,0.051,0.959,-0.096,0.101
C(metric)[T.minkowski]:C(intensity)[T.0.1],0.004,0.050,0.071,0.943,-0.095,0.102
C(metric)[T.msm]:C(intensity)[T.0.1],0.003,0.050,0.066,0.947,-0.095,0.102
C(metric)[T.sbd]:C(intensity)[T.0.1],-0.005,0.050,-0.106,0.916,-0.104,0.093
C(metric)[T.shape_dtw]:C(intensity)[T.0.1],0.003,0.050,0.067,0.947,-0.095,0.102
C(metric)[T.twe]:C(intensity)[T.0.1],0.006,0.050,0.127,0.899,-0.092,0.105
C(metric)[T.wddtw]:C(intensity)[T.0.1],-0.166,0.050,-3.310,0.001,-0.265,-0.068
C(metric)[T.wdtw]:C(intensity)[T.0.1],0.016,0.050,0.321,0.748,-0.082,0.115
C(metric)[T.ddtw]:C(intensity)[T.0.2],-0.217,0.050,-4.320,0.000,-0.316,-0.119
C(metric)[T.dtw]:C(intensity)[T.0.2],0.005,0.050,0.096,0.923,-0.094,0.103
C(metric)[T.edr]:C(intensity)[T.0.2],0.009,0.050,0.175,0.861,-0.090,0.107
C(metric)[T.erp]:C(intensity)[T.0.2],0.003,0.050,0.068,0.946,-0.095,0.102
C(metric)[T.euclidean]:C(intensity)[T.0.2],0.001,0.050,0.028,0.978,-0.097,0.100
C(metric)[T.lcss]:C(intensity)[T.0.2],0.166,0.050,3.304,0.001,0.068,0.265
C(metric)[T.manhattan]:C(intensity)[T.0.2],-0.011,0.050,-0.210,0.834,-0.109,0.088
C(metric)[T.minkowski]:C(intensity)[T.0.2],0.001,0.050,0.028,0.978,-0.097,0.100
C(metric)[T.msm]:C(intensity)[T.0.2],-0.000,0.050,-0.003,0.998,-0.099,0.098
C(metric)[T.sbd]:C(intensity)[T.0.2],-0.007,0.050,-0.133,0.894,-0.105,0.092
C(metric)[T.shape_dtw]:C(intensity)[T.0.2],0.001,0.050,0.013,0.990,-0.098,0.099
C(metric)[T.twe]:C(intensity)[T.0.2],-0.003,0.050,-0.061,0.951,-0.102,0.095
C(metric)[T.wddtw]:C(intensity)[T.0.2],-0.220,0.050,-4.371,0.000,-0.318,-0.121
C(metric)[T.wdtw]:C(intensity)[T.0.2],0.004,0.050,0.084,0.933,-0.094,0.103
C(metric)[T.ddtw]:C(intensity)[T.0.4],-0.203,0.050,-4.033,0.000,-0.301,-0.104
C(metric)[T.dtw]:C(intensity)[T.0.4],0.011,0.050,0.228,0.820,-0.087,0.110
C(metric)[T.edr]:C(intensity)[T.0.4],-0.002,0.050,-0.042,0.967,-0.101,0.096
C(metric)[T.erp]:C(intensity)[T.0.4],0.001,0.050,0.020,0.984,-0.097,0.100
C(metric)[T.euclidean]:C(intensity)[T.0.4],-0.004,0.050,-0.088,0.929,-0.103,0.094
C(metric)[T.lcss]:C(intensity)[T.0.4],0.227,0.050,4.523,0.000,0.129,0.326
C(metric)[T.manhattan]:C(intensity)[T.0.4],-0.006,0.050,-0.114,0.909,-0.104,0.093
C(metric)[T.minkowski]:C(intensity)[T.0.4],-0.004,0.050,-0.088,0.929,-0.103,0.094
C(metric)[T.msm]:C(intensity)[T.0.4],-0.000,0.050,-0.005,0.996,-0.099,0.098
C(metric)[T.sbd]:C(intensity)[T.0.4],0.006,0.050,0.122,0.903,-0.092,0.105
C(metric)[T.shape_dtw]:C(intensity)[T.0.4],-0.012,0.050,-0.241,0.810,-0.111,0.086
C(metric)[T.twe]:C(intensity)[T.0.4],-0.002,0.050,-0.044,0.965,-0.101,0.096
C(metric)[T.wddtw]:C(intensity)[T.0.4],-0.213,0.050,-4.248,0.000,-0.312,-0.115
C(metric)[T.wdtw]:C(intensity)[T.0.4],0.007,0.050,0.146,0.884,-0.091,0.106
C(classifier)[T.svm]:C(intensity)[T.0.05],0.042,0.050,0.837,0.402,-0.056,0.141
C(classifier)[T.svm]:C(intensity)[T.0.1],0.059,0.050,1.177,0.239,-0.039,0.158
C(classifier)[T.svm]:C(intensity)[T.0.2],0.104,0.050,2.078,0.038,0.006,0.203
C(classifier)[T.svm]:C(intensity)[T.0.4],0.155,0.050,3.091,0.002,0.057,0.254
C(noise_type)[T.missing]:C(intensity)[T.0.05],-0.045,0.050,-0.887,0.375,-0.143,0.054
C(noise_type)[T.outlier]:C(intensity)[T.0.05],-0.259,0.050,-5.159,0.000,-0.358,-0.161
C(noise_type)[T.missing]:C(intensity)[T.0.1],-0.039,0.050,-0.768,0.443,-0.137,0.060
C(noise_type)[T.outlier]:C(intensity)[T.0.1],-0.285,0.050,-5.668,0.000,-0.383,-0.186
C(noise_type)[T.missing]:C(intensity)[T.0.2],-0.020,0.050,-0.401,0.689,-0.119,0.078
C(noise_type)[T.outlier]:C(intensity)[T.0.2],-0.298,0.050,-5.926,0.000,-0.396,-0.199
C(noise_type)[T.missing]:C(intensity)[T.0.4],0.007,0.050,0.142,0.887,-0.091,0.106
C(noise_type)[T.outlier]:C(intensity)[T.0.4],-0.233,0.050,-4.639,0.000,-0.332,-0.135
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(noise_type)[T.missing],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.dtw]:C(classifier)[T.svm]:C(noise_type)[T.missing],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.edr]:C(classifier)[T.svm]:C(noise_type)[T.missing],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.erp]:C(classifier)[T.svm]:C(noise_type)[T.missing],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(noise_type)[T.missing],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.lcss]:C(classifier)[T.svm]:C(noise_type)[T.missing],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(noise_type)[T.missing],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(noise_type)[T.missing],0.000,0.071,0.000,1.000,-0.139,0.139
C(metric)[T.msm]:C(classifier)[T.svm]:C(noise_type)[T.missing],0.000,0.071,0.000,1.000,-0.139,0.139
