noise_type,intensity,best_metric,best_acc,worst_acc,margin,tied_metrics
jittering,0.0,adtw,0.921899,0.667467,0.254432,"ddtw, dtw, edr, erp, euclidean, manhattan, minkowski, msm, sbd, shape_dtw, twe, wddtw, wdtw"
jittering,0.05,adtw,0.864822,0.677048,0.187774,"dtw, edr, erp, euclidean, manhattan, minkowski, msm, sbd, shape_dtw, twe, wdtw"
jittering,0.1,twe,0.848333,0.639992,0.208341,"adtw, dtw, edr, erp, euclidean, manhattan, minkowski, msm, sbd, shape_dtw, wdtw"
jittering,0.2,adtw,0.800139,0.533134,0.267006,"dtw, edr, erp, euclidean, manhattan, minkowski, msm, sbd, shape_dtw, twe, wdtw"
jittering,0.4,adtw,0.715093,0.462511,0.252582,"dtw, edr, erp, euclidean, lcss, manhattan, minkowski, msm, sbd, shape_dtw, twe, wdtw"
missing,0.0,adtw,0.921899,0.667467,0.254432,"ddtw, dtw, edr, erp, euclidean, manhattan, minkowski, msm, sbd, shape_dtw, twe, wddtw, wdtw"
missing,0.05,twe,0.869683,0.63207,0.237613,"adtw, dtw, edr, erp, euclidean, manhattan, minkowski, msm, sbd, shape_dtw, wdtw"
missing,0.1,twe,0.851821,0.598891,0.252931,"adtw, dtw, edr, erp, manhattan, msm, sbd, shape_dtw, wdtw"
missing,0.2,erp,0.825272,0.614539,0.210733,"adtw, dtw, edr, manhattan, msm, sbd, shape_dtw, twe, wdtw"
missing,0.4,twe,0.781781,0.597117,0.184664,"adtw, dtw, edr, erp, manhattan, msm, wdtw"
outlier,0.0,adtw,0.921899,0.667467,0.254432,"ddtw, dtw, edr, erp, euclidean, manhattan, minkowski, msm, sbd, shape_dtw, twe, wddtw, wdtw"
outlier,0.05,edr,0.807465,0.441821,0.365643,"erp, manhattan, msm, twe"
outlier,0.1,edr,0.78441,0.409682,0.374728,"erp, msm, twe"
outlier,0.2,edr,0.716267,0.392669,0.323598,"erp, msm"
outlier,0.4,twe,0.612311,0.394816,0.217495,"edr, erp, lcss, msm"
