metric,noise_type,contrast,diff,SE,z,p_raw,CI_low,CI_high,p_fdr
adtw,jittering,I0.05-I0.0,-0.057078,0.035529,-1.6065,0.108164,-0.126715,0.01256,0.12893721854304635
adtw,jittering,I0.1-I0.0,-0.076188,0.035529,-2.1444,0.032003,-0.145825,-0.006551,0.042989104477611936
adtw,jittering,I0.2-I0.0,-0.12176,0.035529,-3.427,0.00061,-0.191397,-0.052123,0.0010166666666666666
adtw,jittering,I0.4-I0.0,-0.206806,0.035529,-5.8207,0.0,-0.276443,-0.137169,0.0
adtw,jittering,linear_trend,-0.482724,0.079446,-6.0761,0.0,-0.638437,-0.32701,0.0
adtw,missing,I0.05-I0.0,-0.101634,0.035529,-2.8606,0.004229,-0.171271,-0.031996,0.0062395081967213115
adtw,missing,I0.1-I0.0,-0.114763,0.035529,-3.2301,0.001237,-0.1844,-0.045125,0.0019030769230769231
adtw,missing,I0.2-I0.0,-0.141896,0.035529,-3.9938,6.5e-05,-0.211533,-0.072259,0.00012857142857142858
adtw,missing,I0.4-I0.0,-0.199673,0.035529,-5.62,0.0,-0.26931,-0.130036,0.0
adtw,missing,linear_trend,-0.411115,0.079446,-5.1748,0.0,-0.566829,-0.255402,0.0
adtw,outlier,I0.05-I0.0,-0.316301,0.035529,-8.9026,0.0,-0.385939,-0.246664,0.0
adtw,outlier,I0.1-I0.0,-0.360977,0.035529,-10.16,0.0,-0.430615,-0.29134,0.0
adtw,outlier,I0.2-I0.0,-0.419514,0.035529,-11.8076,0.0,-0.489151,-0.349877,0.0
adtw,outlier,I0.4-I0.0,-0.439916,0.035529,-12.3818,0.0,-0.509553,-0.370279,0.0
adtw,outlier,linear_trend,-0.812757,0.079446,-10.2303,0.0,-0.968471,-0.657044,0.0
ddtw,jittering,I0.05-I0.0,-0.136249,0.035529,-3.8348,0.000126,-0.205886,-0.066612,0.00023567010309278352
ddtw,jittering,I0.1-I0.0,-0.231943,0.035529,-6.5282,0.0,-0.30158,-0.162306,0.0
ddtw,jittering,I0.2-I0.0,-0.338802,0.035529,-9.5359,0.0,-0.408439,-0.269165,0.0
ddtw,jittering,I0.4-I0.0,-0.409424,0.035529,-11.5236,0.0,-0.479062,-0.339787,0.0
ddtw,jittering,linear_trend,-0.940741,0.079446,-11.8413,0.0,-1.096455,-0.785027,0.0
ddtw,missing,I0.05-I0.0,-0.239865,0.035529,-6.7512,0.0,-0.309502,-0.170228,0.0
ddtw,missing,I0.1-I0.0,-0.273045,0.035529,-7.6851,0.0,-0.342682,-0.203408,0.0
ddtw,missing,I0.2-I0.0,-0.257397,0.035529,-7.2447,0.0,-0.327034,-0.18776,0.0
ddtw,missing,I0.4-I0.0,-0.274819,0.035529,-7.735,0.0,-0.344456,-0.205181,0.0
ddtw,missing,linear_trend,-0.439357,0.079446,-5.5303,0.0,-0.595071,-0.283643,0.0
ddtw,outlier,I0.05-I0.0,-0.430114,0.035529,-12.1059,0.0,-0.499751,-0.360477,0.0
ddtw,outlier,I0.1-I0.0,-0.462254,0.035529,-13.0105,0.0,-0.531891,-0.392617,0.0
ddtw,outlier,I0.2-I0.0,-0.476303,0.035529,-13.4059,0.0,-0.54594,-0.406665,0.0
ddtw,outlier,I0.4-I0.0,-0.47693,0.035529,-13.4236,0.0,-0.546567,-0.407293,0.0
ddtw,outlier,linear_trend,-0.769235,0.079446,-9.6825,0.0,-0.924949,-0.613522,0.0
