noise_type,intensity,metric_A,metric_B,diff,SE,z,p_raw,CI_low,CI_high,pred_A,pred_B,p_fdr
jittering,0.0,adtw,ddtw,0.049964,0.035529,1.4063,0.159642,-0.019673,0.119601,0.921899,0.871936,0.3356957943925234
jittering,0.0,adtw,dtw,0.031618,0.035529,0.8899,0.373505,-0.038019,0.101256,0.921899,0.890281,0.623828605514316
jittering,0.0,adtw,edr,0.074714,0.035529,2.1029,0.035476,0.005076,0.144351,0.921899,0.847186,0.0920505766062603
jittering,0.0,adtw,erp,0.010656,0.035529,0.2999,0.764238,-0.058981,0.080293,0.921899,0.911243,0.9135585546282246
jittering,0.0,adtw,euclidean,0.036363,0.035529,1.0235,0.306093,-0.033275,0.106,0.921899,0.885537,0.5599262195121951
jittering,0.0,adtw,lcss,0.254432,0.035529,7.1612,0.0,0.184795,0.324069,0.921899,0.667467,0.0
jittering,0.0,adtw,manhattan,0.03395,0.035529,0.9555,0.339305,-0.035688,0.103587,0.921899,0.88795,0.594703531701891
jittering,0.0,adtw,minkowski,0.036363,0.035529,1.0235,0.306093,-0.033275,0.106,0.921899,0.885537,0.5599262195121951
jittering,0.0,adtw,msm,0.009509,0.035529,0.2676,0.78897,-0.060128,0.079147,0.921899,0.91239,0.9244535687732343
jittering,0.0,adtw,sbd,0.012111,0.035529,0.3409,0.733202,-0.057526,0.081748,0.921899,0.909789,0.8965785326086956
jittering,0.0,adtw,shape_dtw,0.002619,0.035529,0.0737,0.941238,-0.067018,0.072256,0.921899,0.91928,0.9904492534837425
jittering,0.0,adtw,twe,0.003767,0.035529,0.106,0.915552,-0.06587,0.073405,0.921899,0.918132,0.9795837067209776
jittering,0.0,adtw,wddtw,0.037825,0.035529,1.0646,0.287053,-0.031813,0.107462,0.921899,0.884075,0.5388658820023838
jittering,0.0,adtw,wdtw,0.016813,0.035529,0.4732,0.636066,-0.052825,0.08645,0.921899,0.905087,0.8266228960396039
jittering,0.0,ddtw,dtw,-0.018345,0.035529,-0.5163,0.605611,-0.087983,0.051292,0.871936,0.890281,0.8076522650296359
jittering,0.0,ddtw,edr,0.02475,0.035529,0.6966,0.48605,-0.044887,0.094387,0.871936,0.847186,0.7127828212290502
jittering,0.0,ddtw,erp,-0.039308,0.035529,-1.1064,0.268573,-0.108945,0.030329,0.871936,0.911243,0.5146015510948906
jittering,0.0,ddtw,euclidean,-0.013601,0.035529,-0.3828,0.701852,-0.083239,0.056036,0.871936,0.885537,0.8745386867088608
jittering,0.0,ddtw,lcss,0.204468,0.035529,5.7549,0.0,0.134831,0.274106,0.871936,0.667467,0.0
jittering,0.0,ddtw,manhattan,-0.016014,0.035529,-0.4507,0.65218,-0.085652,0.053623,0.871936,0.88795,0.8378331973898857
