"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.845000","0.815000"
"jittering_0.05","jittering","0.05","0.855000","0.810000"
"jittering_0.1","jittering","0.1","0.860000","0.810000"
"jittering_0.2","jittering","0.2","0.825000","0.780000"
"jittering_0.4","jittering","0.4","0.765000","0.760000"
"missing_0","missing","0","0.845000","0.815000"
"missing_0.05","missing","0.05","0.830000","0.815000"
"missing_0.1","missing","0.1","0.805000","0.800000"
"missing_0.2","missing","0.2","0.810000","0.785000"
"missing_0.4","missing","0.4","0.755000","0.745000"
"outlier_0","outlier","0","0.845000","0.815000"
"outlier_0.05","outlier","0.05","0.790000","0.775000"
"outlier_0.1","outlier","0.1","0.720000","0.745000"
"outlier_0.2","outlier","0.2","0.630000","0.710000"
"outlier_0.4","outlier","0.4","0.695000","0.685000"
