"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.900000","0.875000"
"jittering_0.05","jittering","0.05","0.905000","0.870000"
"jittering_0.1","jittering","0.1","0.900000","0.865000"
"jittering_0.2","jittering","0.2","0.895000","0.875000"
"jittering_0.4","jittering","0.4","0.815000","0.820000"
"missing_0","missing","0","0.900000","0.875000"
"missing_0.05","missing","0.05","0.875000","0.865000"
"missing_0.1","missing","0.1","0.865000","0.850000"
"missing_0.2","missing","0.2","0.860000","0.855000"
"missing_0.4","missing","0.4","0.845000","0.810000"
"outlier_0","outlier","0","0.900000","0.875000"
"outlier_0.05","outlier","0.05","0.705000","0.730000"
"outlier_0.1","outlier","0.1","0.605000","0.710000"
"outlier_0.2","outlier","0.2","0.585000","0.705000"
"outlier_0.4","outlier","0.4","0.670000","0.700000"
