"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.825000","0.720000"
"jittering_0.05","jittering","0.05","0.830000","0.705000"
"jittering_0.1","jittering","0.1","0.815000","0.715000"
"jittering_0.2","jittering","0.2","0.820000","0.730000"
"jittering_0.4","jittering","0.4","0.795000","0.720000"
"missing_0","missing","0","0.825000","0.720000"
"missing_0.05","missing","0.05","0.755000","0.760000"
"missing_0.1","missing","0.1","0.750000","0.725000"
"missing_0.2","missing","0.2","0.765000","0.715000"
"missing_0.4","missing","0.4","0.725000","0.750000"
"outlier_0","outlier","0","0.825000","0.720000"
"outlier_0.05","outlier","0.05","0.600000","0.660000"
"outlier_0.1","outlier","0.1","0.555000","0.675000"
"outlier_0.2","outlier","0.2","0.580000","0.700000"
"outlier_0.4","outlier","0.4","0.655000","0.680000"
