Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.835000,0.780000
jittering_0.05,jittering,0.05,0.845000,0.785000
jittering_0.1,jittering,0.1,0.840000,0.785000
jittering_0.2,jittering,0.2,0.810000,0.765000
jittering_0.4,jittering,0.4,0.700000,0.785000
missing_0,missing,0,0.835000,0.780000
missing_0.05,missing,0.05,0.815000,0.740000
missing_0.1,missing,0.1,0.745000,0.715000
missing_0.2,missing,0.2,0.685000,0.710000
missing_0.4,missing,0.4,0.675000,0.685000
outlier_0,outlier,0,0.835000,0.780000
outlier_0.05,outlier,0.05,0.610000,0.650000
outlier_0.1,outlier,0.1,0.580000,0.690000
outlier_0.2,outlier,0.2,0.620000,0.675000
outlier_0.4,outlier,0.4,0.560000,0.685000
scaling_0,scaling,0,0.835000,0.780000
scaling_0.05,scaling,0.05,0.845000,0.785000
scaling_0.1,scaling,0.1,0.840000,0.785000
scaling_0.2,scaling,0.2,0.810000,0.765000
scaling_0.4,scaling,0.4,0.700000,0.785000
trend_0,trend,0,0.835000,0.780000
trend_0.05,trend,0.05,0.845000,0.785000
trend_0.1,trend,0.1,0.840000,0.785000
trend_0.2,trend,0.2,0.810000,0.765000
trend_0.4,trend,0.4,0.700000,0.785000
