"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.845000","0.820000"
"jittering_0.05","jittering","0.05","0.860000","0.815000"
"jittering_0.1","jittering","0.1","0.860000","0.835000"
"jittering_0.2","jittering","0.2","0.805000","0.820000"
"jittering_0.4","jittering","0.4","0.695000","0.775000"
"missing_0","missing","0","0.845000","0.820000"
"missing_0.05","missing","0.05","0.800000","0.745000"
"missing_0.1","missing","0.1","0.725000","0.710000"
"missing_0.2","missing","0.2","0.725000","0.705000"
"missing_0.4","missing","0.4","0.705000","0.740000"
"outlier_0","outlier","0","0.845000","0.820000"
"outlier_0.05","outlier","0.05","0.590000","0.605000"
"outlier_0.1","outlier","0.1","0.615000","0.665000"
"outlier_0.2","outlier","0.2","0.615000","0.700000"
"outlier_0.4","outlier","0.4","0.580000","0.675000"
