"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.875000","0.805000"
"jittering_0.05","jittering","0.05","0.865000","0.800000"
"jittering_0.1","jittering","0.1","0.875000","0.810000"
"jittering_0.2","jittering","0.2","0.870000","0.805000"
"jittering_0.4","jittering","0.4","0.835000","0.750000"
"missing_0","missing","0","0.875000","0.805000"
"missing_0.05","missing","0.05","0.850000","0.780000"
"missing_0.1","missing","0.1","0.820000","0.780000"
"missing_0.2","missing","0.2","0.775000","0.695000"
"missing_0.4","missing","0.4","0.735000","0.680000"
"outlier_0","outlier","0","0.875000","0.805000"
"outlier_0.05","outlier","0.05","0.705000","0.700000"
"outlier_0.1","outlier","0.1","0.605000","0.685000"
"outlier_0.2","outlier","0.2","0.585000","0.690000"
"outlier_0.4","outlier","0.4","0.585000","0.710000"
