"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.895000","0.850000"
"jittering_0.05","jittering","0.05","0.900000","0.855000"
"jittering_0.1","jittering","0.1","0.895000","0.855000"
"jittering_0.2","jittering","0.2","0.865000","0.840000"
"jittering_0.4","jittering","0.4","0.860000","0.840000"
"missing_0","missing","0","0.895000","0.850000"
"missing_0.05","missing","0.05","0.870000","0.870000"
"missing_0.1","missing","0.1","0.860000","0.850000"
"missing_0.2","missing","0.2","0.850000","0.830000"
"missing_0.4","missing","0.4","0.735000","0.805000"
"outlier_0","outlier","0","0.895000","0.850000"
"outlier_0.05","outlier","0.05","0.730000","0.790000"
"outlier_0.1","outlier","0.1","0.580000","0.730000"
"outlier_0.2","outlier","0.2","0.645000","0.670000"
"outlier_0.4","outlier","0.4","0.525000","0.655000"
