Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.445626,0.540310
jittering_0.05,jittering,0.05,0.459801,0.559358
jittering_0.1,jittering,0.1,0.507087,0.578184
jittering_0.2,jittering,0.2,0.578516,0.682835
jittering_0.4,jittering,0.4,0.464452,0.753821
missing_0,missing,0,0.445626,0.540310
missing_0.05,missing,0.05,0.468882,0.483167
missing_0.1,missing,0.1,0.468882,0.549391
missing_0.2,missing,0.2,0.464120,0.549945
missing_0.4,missing,0.4,0.459358,0.630454
outlier_0,outlier,0,0.445626,0.540310
outlier_0.05,outlier,0.05,0.417054,0.559358
outlier_0.1,outlier,0.1,0.402658,0.583278
outlier_0.2,outlier,0.2,0.388372,0.568882
outlier_0.4,outlier,0.4,0.312735,0.530676
scaling_0,scaling,0,0.445626,0.540310
scaling_0.05,scaling,0.05,0.459801,0.559358
scaling_0.1,scaling,0.1,0.507087,0.578184
scaling_0.2,scaling,0.2,0.578516,0.682835
scaling_0.4,scaling,0.4,0.464452,0.753821
trend_0,trend,0,0.445626,0.540310
trend_0.05,trend,0.05,0.459801,0.559358
trend_0.1,trend,0.1,0.507087,0.578184
trend_0.2,trend,0.2,0.578516,0.682835
trend_0.4,trend,0.4,0.464452,0.753821
