"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.905426","0.772757"
"jittering_0.05","jittering","0.05","0.905316","0.787043"
"jittering_0.1","jittering","0.1","0.900554","0.825028"
"jittering_0.2","jittering","0.2","0.696456","0.781949"
"jittering_0.4","jittering","0.4","0.473976","0.687375"
"missing_0","missing","0","0.905426","0.772757"
"missing_0.05","missing","0.05","0.857918","0.805980"
"missing_0.1","missing","0.1","0.829568","0.820266"
"missing_0.2","missing","0.2","0.805869","0.843854"
"missing_0.4","missing","0.4","0.838760","0.782171"
"outlier_0","outlier","0","0.905426","0.772757"
"outlier_0.05","outlier","0.05","0.687597","0.654374"
"outlier_0.1","outlier","0.1","0.559468","0.673533"
"outlier_0.2","outlier","0.2","0.478959","0.654374"
"outlier_0.4","outlier","0.4","0.359911","0.544740"
