Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.900443,0.820377
jittering_0.05,jittering,0.05,0.900443,0.829790
jittering_0.1,jittering,0.1,0.857697,0.834330
jittering_0.2,jittering,0.2,0.687375,0.715947
jittering_0.4,jittering,0.4,0.492802,0.701550
missing_0,missing,0,0.900443,0.820377
missing_0.05,missing,0.05,0.867442,0.815393
missing_0.1,missing,0.1,0.853267,0.824806
missing_0.2,missing,0.2,0.758583,0.768106
missing_0.4,missing,0.4,0.692137,0.753488
outlier_0,outlier,0,0.900443,0.820377
outlier_0.05,outlier,0.05,0.587929,0.767996
outlier_0.1,outlier,0.1,0.545404,0.683056
outlier_0.2,outlier,0.2,0.478738,0.734994
outlier_0.4,outlier,0.4,0.501993,0.644629
scaling_0,scaling,0,0.900443,0.820377
scaling_0.05,scaling,0.05,0.900443,0.829790
scaling_0.1,scaling,0.1,0.857697,0.834330
scaling_0.2,scaling,0.2,0.687375,0.715947
scaling_0.4,scaling,0.4,0.492802,0.701550
trend_0,trend,0,0.900443,0.820377
trend_0.05,trend,0.05,0.900443,0.829790
trend_0.1,trend,0.1,0.857697,0.834330
trend_0.2,trend,0.2,0.687375,0.715947
trend_0.4,trend,0.4,0.492802,0.701550
