"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.924142","0.844075"
"jittering_0.05","jittering","0.05","0.924252","0.843965"
"jittering_0.1","jittering","0.1","0.886268","0.824917"
"jittering_0.2","jittering","0.2","0.720487","0.805980"
"jittering_0.4","jittering","0.4","0.497674","0.715836"
"missing_0","missing","0","0.924142","0.844075"
"missing_0.05","missing","0.05","0.881506","0.848616"
"missing_0.1","missing","0.1","0.881617","0.853378"
"missing_0.2","missing","0.2","0.815282","0.815504"
"missing_0.4","missing","0.4","0.753378","0.796788"
"outlier_0","outlier","0","0.924142","0.844075"
"outlier_0.05","outlier","0.05","0.715615","0.791805"
"outlier_0.1","outlier","0.1","0.559579","0.725581"
"outlier_0.2","outlier","0.2","0.483610","0.734994"
"outlier_0.4","outlier","0.4","0.473754","0.654042"
