"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.919491","0.858140"
"jittering_0.05","jittering","0.05","0.919491","0.829568"
"jittering_0.1","jittering","0.1","0.895681","0.824695"
"jittering_0.2","jittering","0.2","0.696567","0.772757"
"jittering_0.4","jittering","0.4","0.521373","0.711296"
"missing_0","missing","0","0.919491","0.858140"
"missing_0.05","missing","0.05","0.872093","0.839092"
"missing_0.1","missing","0.1","0.886489","0.829568"
"missing_0.2","missing","0.2","0.815504","0.815615"
"missing_0.4","missing","0.4","0.758361","0.758804"
"outlier_0","outlier","0","0.919491","0.858140"
"outlier_0.05","outlier","0.05","0.672979","0.777409"
"outlier_0.1","outlier","0.1","0.578405","0.711185"
"outlier_0.2","outlier","0.2","0.516611","0.725471"
"outlier_0.4","outlier","0.4","0.568439","0.620709"
