"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.919601","0.768328"
"jittering_0.05","jittering","0.05","0.905426","0.768106"
"jittering_0.1","jittering","0.1","0.867220","0.777409"
"jittering_0.2","jittering","0.2","0.682503","0.805980"
"jittering_0.4","jittering","0.4","0.492913","0.748948"
"missing_0","missing","0","0.919601","0.768328"
"missing_0.05","missing","0.05","0.782171","0.787043"
"missing_0.1","missing","0.1","0.767663","0.768217"
"missing_0.2","missing","0.2","0.668217","0.744186"
"missing_0.4","missing","0.4","0.677962","0.702104"
"outlier_0","outlier","0","0.919601","0.768328"
"outlier_0.05","outlier","0.05","0.388594","0.597231"
"outlier_0.1","outlier","0.1","0.378848","0.521705"
"outlier_0.2","outlier","0.2","0.440975","0.615836"
"outlier_0.4","outlier","0.4","0.355150","0.488704"
