Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.777409,0.654485
jittering_0.05,jittering,0.05,0.801218,0.645072
jittering_0.1,jittering,0.1,0.725249,0.640310
jittering_0.2,jittering,0.2,0.597453,0.692248
jittering_0.4,jittering,0.4,0.493245,0.668439
missing_0,missing,0,0.777409,0.654485
missing_0.05,missing,0.05,0.611185,0.649723
missing_0.1,missing,0.1,0.616390,0.616722
missing_0.2,missing,0.2,0.597010,0.664341
missing_0.4,missing,0.4,0.644075,0.663677
outlier_0,outlier,0,0.777409,0.654485
outlier_0.05,outlier,0.05,0.383721,0.521484
outlier_0.1,outlier,0.1,0.369324,0.530786
outlier_0.2,outlier,0.2,0.384164,0.582946
outlier_0.4,outlier,0.4,0.326689,0.469767
scaling_0,scaling,0,0.777409,0.654485
scaling_0.05,scaling,0.05,0.801218,0.645072
scaling_0.1,scaling,0.1,0.725249,0.640310
scaling_0.2,scaling,0.2,0.597453,0.692248
scaling_0.4,scaling,0.4,0.493245,0.668439
trend_0,trend,0,0.777409,0.654485
trend_0.05,trend,0.05,0.801218,0.645072
trend_0.1,trend,0.1,0.725249,0.640310
trend_0.2,trend,0.2,0.597453,0.692248
trend_0.4,trend,0.4,0.493245,0.668439
