Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.957475,0.800886
jittering_0.05,jittering,0.05,0.535437,0.829125
jittering_0.1,jittering,0.1,0.284164,0.592691
jittering_0.2,jittering,0.2,0.246401,0.426357
jittering_0.4,jittering,0.4,0.246401,0.374419
missing_0,missing,0,0.957475,0.800886
missing_0.05,missing,0.05,0.331672,0.483167
missing_0.1,missing,0.1,0.412071,0.549612
missing_0.2,missing,0.2,0.521595,0.521816
missing_0.4,missing,0.4,0.502436,0.554817
outlier_0,outlier,0,0.957475,0.800886
outlier_0.05,outlier,0.05,0.289147,0.317165
outlier_0.1,outlier,0.1,0.373865,0.351163
outlier_0.2,outlier,0.2,0.331561,0.365006
outlier_0.4,outlier,0.4,0.283610,0.345626
scaling_0,scaling,0,0.957475,0.800886
scaling_0.05,scaling,0.05,0.535437,0.829125
scaling_0.1,scaling,0.1,0.284164,0.592691
scaling_0.2,scaling,0.2,0.246401,0.426357
scaling_0.4,scaling,0.4,0.246401,0.374419
trend_0,trend,0,0.957475,0.800886
trend_0.05,trend,0.05,0.535437,0.829125
trend_0.1,trend,0.1,0.284164,0.592691
trend_0.2,trend,0.2,0.246401,0.426357
trend_0.4,trend,0.4,0.246401,0.374419
