Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.900554,0.678073
jittering_0.05,jittering,0.05,0.919601,0.701772
jittering_0.1,jittering,0.1,0.886489,0.725360
jittering_0.2,jittering,0.2,0.696788,0.734773
jittering_0.4,jittering,0.4,0.487929,0.710963
missing_0,missing,0,0.900554,0.678073
missing_0.05,missing,0.05,0.720155,0.725692
missing_0.1,missing,0.1,0.687486,0.739646
missing_0.2,missing,0.2,0.626135,0.668660
missing_0.4,missing,0.4,0.521041,0.625914
outlier_0,outlier,0,0.900554,0.678073
outlier_0.05,outlier,0.05,0.468992,0.563677
outlier_0.1,outlier,0.1,0.502104,0.583167
outlier_0.2,outlier,0.2,0.312514,0.445293
outlier_0.4,outlier,0.4,0.431008,0.468992
scaling_0,scaling,0,0.900554,0.678073
scaling_0.05,scaling,0.05,0.919601,0.701772
scaling_0.1,scaling,0.1,0.886489,0.725360
scaling_0.2,scaling,0.2,0.696788,0.734773
scaling_0.4,scaling,0.4,0.487929,0.710963
trend_0,trend,0,0.900554,0.678073
trend_0.05,trend,0.05,0.919601,0.701772
trend_0.1,trend,0.1,0.886489,0.725360
trend_0.2,trend,0.2,0.696788,0.734773
trend_0.4,trend,0.4,0.487929,0.710963
