"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.900443","0.820377"
"jittering_0.05","jittering","0.05","0.895792","0.829790"
"jittering_0.1","jittering","0.1","0.867331","0.839313"
"jittering_0.2","jittering","0.2","0.682724","0.796567"
"jittering_0.4","jittering","0.4","0.469103","0.730122"
"missing_0","missing","0","0.900443","0.820377"
"missing_0.05","missing","0.05","0.877076","0.843965"
"missing_0.1","missing","0.1","0.848616","0.829900"
"missing_0.2","missing","0.2","0.772647","0.829790"
"missing_0.4","missing","0.4","0.692359","0.720598"
"outlier_0","outlier","0","0.900443","0.820377"
"outlier_0.05","outlier","0.05","0.720598","0.815504"
"outlier_0.1","outlier","0.1","0.473976","0.777519"
"outlier_0.2","outlier","0.2","0.303433","0.678405"
"outlier_0.4","outlier","0.4","0.241639","0.531118"
