Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.919712,0.872315
jittering_0.05,jittering,0.05,0.910299,0.867553
jittering_0.1,jittering,0.1,0.872093,0.858029
jittering_0.2,jittering,0.2,0.673090,0.806091
jittering_0.4,jittering,0.4,0.459690,0.739646
missing_0,missing,0,0.919712,0.872315
missing_0.05,missing,0.05,0.796456,0.820266
missing_0.1,missing,0.1,0.725249,0.796567
missing_0.2,missing,0.2,0.672979,0.744408
missing_0.4,missing,0.4,0.563787,0.687708
outlier_0,outlier,0,0.919712,0.872315
outlier_0.05,outlier,0.05,0.430786,0.606866
outlier_0.1,outlier,0.1,0.364895,0.583056
outlier_0.2,outlier,0.2,0.317608,0.493134
outlier_0.4,outlier,0.4,0.379291,0.407530
scaling_0,scaling,0,0.919712,0.872315
scaling_0.05,scaling,0.05,0.910299,0.867553
scaling_0.1,scaling,0.1,0.872093,0.858029
scaling_0.2,scaling,0.2,0.673090,0.806091
scaling_0.4,scaling,0.4,0.459690,0.739646
trend_0,trend,0,0.919712,0.872315
trend_0.05,trend,0.05,0.910299,0.867553
trend_0.1,trend,0.1,0.872093,0.858029
trend_0.2,trend,0.2,0.673090,0.806091
trend_0.4,trend,0.4,0.459690,0.739646
