"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.919712","0.734994"
"jittering_0.05","jittering","0.05","0.910299","0.749280"
"jittering_0.1","jittering","0.1","0.867331","0.758693"
"jittering_0.2","jittering","0.2","0.663566","0.767996"
"jittering_0.4","jittering","0.4","0.469324","0.744297"
"missing_0","missing","0","0.919712","0.734994"
"missing_0.05","missing","0.05","0.800997","0.787043"
"missing_0.1","missing","0.1","0.763566","0.782503"
"missing_0.2","missing","0.2","0.663344","0.763123"
"missing_0.4","missing","0.4","0.658693","0.711628"
"outlier_0","outlier","0","0.919712","0.734994"
"outlier_0.05","outlier","0.05","0.488151","0.568660"
"outlier_0.1","outlier","0.1","0.478627","0.573533"
"outlier_0.2","outlier","0.2","0.350388","0.502215"
"outlier_0.4","outlier","0.4","0.269989","0.478405"
