Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.875000,0.575000
jittering_0.05,jittering,0.05,0.875000,0.525000
jittering_0.1,jittering,0.1,0.875000,0.550000
jittering_0.2,jittering,0.2,0.850000,0.575000
jittering_0.4,jittering,0.4,0.775000,0.600000
missing_0,missing,0,0.875000,0.575000
missing_0.05,missing,0.05,0.850000,0.675000
missing_0.1,missing,0.1,0.825000,0.650000
missing_0.2,missing,0.2,0.825000,0.775000
missing_0.4,missing,0.4,0.825000,0.850000
outlier_0,outlier,0,0.875000,0.575000
outlier_0.05,outlier,0.05,0.750000,0.700000
outlier_0.1,outlier,0.1,0.650000,0.775000
outlier_0.2,outlier,0.2,0.550000,0.700000
outlier_0.4,outlier,0.4,0.600000,0.700000
scaling_0,scaling,0,0.875000,0.575000
scaling_0.05,scaling,0.05,0.875000,0.525000
scaling_0.1,scaling,0.1,0.875000,0.550000
scaling_0.2,scaling,0.2,0.850000,0.575000
scaling_0.4,scaling,0.4,0.775000,0.600000
trend_0,trend,0,0.875000,0.575000
trend_0.05,trend,0.05,0.875000,0.525000
trend_0.1,trend,0.1,0.875000,0.550000
trend_0.2,trend,0.2,0.850000,0.575000
trend_0.4,trend,0.4,0.775000,0.600000
