"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.825000","0.800000"
"jittering_0.05","jittering","0.05","0.800000","0.875000"
"jittering_0.1","jittering","0.1","0.725000","0.825000"
"jittering_0.2","jittering","0.2","0.550000","0.650000"
"jittering_0.4","jittering","0.4","0.550000","0.550000"
"missing_0","missing","0","0.825000","0.800000"
"missing_0.05","missing","0.05","0.675000","0.575000"
"missing_0.1","missing","0.1","0.625000","0.725000"
"missing_0.2","missing","0.2","0.600000","0.650000"
"missing_0.4","missing","0.4","0.625000","0.650000"
"outlier_0","outlier","0","0.825000","0.800000"
"outlier_0.05","outlier","0.05","0.475000","0.600000"
"outlier_0.1","outlier","0.1","0.625000","0.475000"
"outlier_0.2","outlier","0.2","0.525000","0.600000"
"outlier_0.4","outlier","0.4","0.500000","0.525000"
