"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","1.000000","0.975000"
"jittering_0.05","jittering","0.05","0.975000","0.975000"
"jittering_0.1","jittering","0.1","0.975000","0.950000"
"jittering_0.2","jittering","0.2","0.925000","0.900000"
"jittering_0.4","jittering","0.4","0.750000","0.700000"
"missing_0","missing","0","1.000000","0.975000"
"missing_0.05","missing","0.05","0.975000","0.975000"
"missing_0.1","missing","0.1","0.975000","0.950000"
"missing_0.2","missing","0.2","0.925000","0.950000"
"missing_0.4","missing","0.4","0.950000","0.825000"
"outlier_0","outlier","0","1.000000","0.975000"
"outlier_0.05","outlier","0.05","0.925000","0.900000"
"outlier_0.1","outlier","0.1","0.950000","0.875000"
"outlier_0.2","outlier","0.2","0.875000","0.775000"
"outlier_0.4","outlier","0.4","0.725000","0.775000"
