"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.950000","0.625000"
"jittering_0.05","jittering","0.05","0.950000","0.575000"
"jittering_0.1","jittering","0.1","0.950000","0.525000"
"jittering_0.2","jittering","0.2","0.925000","0.650000"
"jittering_0.4","jittering","0.4","0.850000","0.600000"
"missing_0","missing","0","0.950000","0.625000"
"missing_0.05","missing","0.05","0.950000","0.625000"
"missing_0.1","missing","0.1","0.925000","0.600000"
"missing_0.2","missing","0.2","0.900000","0.700000"
"missing_0.4","missing","0.4","0.900000","0.600000"
"outlier_0","outlier","0","0.950000","0.625000"
"outlier_0.05","outlier","0.05","0.550000","0.700000"
"outlier_0.1","outlier","0.1","0.775000","0.650000"
"outlier_0.2","outlier","0.2","0.625000","0.700000"
"outlier_0.4","outlier","0.4","0.575000","0.525000"
