"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.955731","0.955336"
"jittering_0.05","jittering","0.05","0.964822","0.937549"
"jittering_0.1","jittering","0.1","0.965217","0.946245"
"jittering_0.2","jittering","0.2","0.973913","0.973123"
"jittering_0.4","jittering","0.4","0.965217","0.973123"
"missing_0","missing","0","0.955731","0.955336"
"missing_0.05","missing","0.05","0.973913","0.946640"
"missing_0.1","missing","0.1","0.965217","0.946640"
"missing_0.2","missing","0.2","0.956126","0.964032"
"missing_0.4","missing","0.4","0.892885","0.928458"
"outlier_0","outlier","0","0.955731","0.955336"
"outlier_0.05","outlier","0.05","0.955731","0.955336"
"outlier_0.1","outlier","0.1","0.920158","0.964427"
"outlier_0.2","outlier","0.2","0.811858","0.973123"
"outlier_0.4","outlier","0.4","0.588142","0.848617"
