"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.991304","0.973123"
"jittering_0.05","jittering","0.05","0.991304","0.973123"
"jittering_0.1","jittering","0.1","0.991304","0.973123"
"jittering_0.2","jittering","0.2","0.991304","0.973123"
"jittering_0.4","jittering","0.4","0.911858","0.945455"
"missing_0","missing","0","0.991304","0.973123"
"missing_0.05","missing","0.05","0.991304","0.973123"
"missing_0.1","missing","0.1","0.991304","0.973123"
"missing_0.2","missing","0.2","1.000000","0.973123"
"missing_0.4","missing","0.4","0.946640","0.973123"
"outlier_0","outlier","0","0.991304","0.973123"
"outlier_0.05","outlier","0.05","0.991304","0.973123"
"outlier_0.1","outlier","0.1","0.991304","0.973123"
"outlier_0.2","outlier","0.2","0.982609","0.973123"
"outlier_0.4","outlier","0.4","0.643478","0.918577"
