"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.982609","0.964427"
"jittering_0.05","jittering","0.05","0.982609","0.964427"
"jittering_0.1","jittering","0.1","0.982609","0.964427"
"jittering_0.2","jittering","0.2","0.982609","0.964427"
"jittering_0.4","jittering","0.4","0.937945","0.964427"
"missing_0","missing","0","0.982609","0.964427"
"missing_0.05","missing","0.05","0.973913","0.964427"
"missing_0.1","missing","0.1","0.973518","0.964427"
"missing_0.2","missing","0.2","0.964822","0.964032"
"missing_0.4","missing","0.4","0.964427","0.955336"
"outlier_0","outlier","0","0.982609","0.964427"
"outlier_0.05","outlier","0.05","0.937549","0.964427"
"outlier_0.1","outlier","0.1","0.866403","0.892885"
"outlier_0.2","outlier","0.2","0.651779","0.785375"
"outlier_0.4","outlier","0.4","0.554150","0.615810"
