"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.982609","0.973123"
"jittering_0.05","jittering","0.05","0.982609","0.973123"
"jittering_0.1","jittering","0.1","0.982609","0.973123"
"jittering_0.2","jittering","0.2","0.982609","0.973123"
"jittering_0.4","jittering","0.4","0.947431","0.973123"
"missing_0","missing","0","0.982609","0.973123"
"missing_0.05","missing","0.05","0.982609","0.973123"
"missing_0.1","missing","0.1","0.982609","0.982213"
"missing_0.2","missing","0.2","0.982609","0.982213"
"missing_0.4","missing","0.4","0.982609","0.982213"
"outlier_0","outlier","0","0.982609","0.973123"
"outlier_0.05","outlier","0.05","0.973123","0.973123"
"outlier_0.1","outlier","0.1","0.840316","0.973123"
"outlier_0.2","outlier","0.2","0.678656","0.848617"
"outlier_0.4","outlier","0.4","0.688933","0.625692"
