Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.982609,0.973123
jittering_0.05,jittering,0.05,0.982609,0.973123
jittering_0.1,jittering,0.1,0.982609,0.973123
jittering_0.2,jittering,0.2,0.982609,0.973123
jittering_0.4,jittering,0.4,0.947431,0.982213
missing_0,missing,0,0.982609,0.973123
missing_0.05,missing,0.05,0.982609,0.973123
missing_0.1,missing,0.1,0.982609,0.973123
missing_0.2,missing,0.2,0.991304,0.982213
missing_0.4,missing,0.4,0.982609,0.982213
outlier_0,outlier,0,0.982609,0.973123
outlier_0.05,outlier,0.05,0.928854,0.973123
outlier_0.1,outlier,0.1,0.805138,0.928063
outlier_0.2,outlier,0.2,0.617391,0.669960
outlier_0.4,outlier,0.4,0.696047,0.580632
scaling_0,scaling,0,0.982609,0.973123
scaling_0.05,scaling,0.05,0.982609,0.973123
scaling_0.1,scaling,0.1,0.982609,0.973123
scaling_0.2,scaling,0.2,0.982609,0.973123
scaling_0.4,scaling,0.4,0.947431,0.982213
trend_0,trend,0,0.982609,0.973123
trend_0.05,trend,0.05,0.982609,0.973123
trend_0.1,trend,0.1,0.982609,0.973123
trend_0.2,trend,0.2,0.982609,0.973123
trend_0.4,trend,0.4,0.947431,0.982213
