"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.973518","0.982213"
"jittering_0.05","jittering","0.05","0.973518","0.973518"
"jittering_0.1","jittering","0.1","0.973518","0.982213"
"jittering_0.2","jittering","0.2","0.964427","0.982213"
"jittering_0.4","jittering","0.4","0.947431","0.982213"
"missing_0","missing","0","0.973518","0.982213"
"missing_0.05","missing","0.05","0.946640","0.973518"
"missing_0.1","missing","0.1","0.964427","0.973518"
"missing_0.2","missing","0.2","0.964427","0.982213"
"missing_0.4","missing","0.4","0.928458","0.964427"
"outlier_0","outlier","0","0.973518","0.982213"
"outlier_0.05","outlier","0.05","0.508696","0.759289"
"outlier_0.1","outlier","0.1","0.491700","0.651383"
"outlier_0.2","outlier","0.2","0.439130","0.482213"
"outlier_0.4","outlier","0.4","0.473518","0.312648"
