"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.929249","0.946640"
"jittering_0.05","jittering","0.05","0.928854","0.937549"
"jittering_0.1","jittering","0.1","0.920158","0.946245"
"jittering_0.2","jittering","0.2","0.911067","0.928458"
"jittering_0.4","jittering","0.4","0.883794","0.919368"
"missing_0","missing","0","0.929249","0.946640"
"missing_0.05","missing","0.05","0.928854","0.928458"
"missing_0.1","missing","0.1","0.928854","0.955336"
"missing_0.2","missing","0.2","0.892490","0.946245"
"missing_0.4","missing","0.4","0.883399","0.919368"
"outlier_0","outlier","0","0.929249","0.946640"
"outlier_0.05","outlier","0.05","0.428458","0.688142"
"outlier_0.1","outlier","0.1","0.509881","0.579842"
"outlier_0.2","outlier","0.2","0.438735","0.464822"
"outlier_0.4","outlier","0.4","0.447036","0.330040"
