"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.937945","0.955336"
"jittering_0.05","jittering","0.05","0.928854","0.955336"
"jittering_0.1","jittering","0.1","0.928854","0.955336"
"jittering_0.2","jittering","0.2","0.919763","0.955336"
"jittering_0.4","jittering","0.4","0.892885","0.973123"
"missing_0","missing","0","0.937945","0.955336"
"missing_0.05","missing","0.05","0.946245","0.973123"
"missing_0.1","missing","0.1","0.955336","0.973123"
"missing_0.2","missing","0.2","0.919763","0.955731"
"missing_0.4","missing","0.4","0.919368","0.964427"
"outlier_0","outlier","0","0.937945","0.955336"
"outlier_0.05","outlier","0.05","0.553360","0.847826"
"outlier_0.1","outlier","0.1","0.528063","0.787352"
"outlier_0.2","outlier","0.2","0.554545","0.705534"
"outlier_0.4","outlier","0.4","0.456522","0.545059"
