"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.892490","0.892095"
"jittering_0.05","jittering","0.05","0.874308","0.892095"
"jittering_0.1","jittering","0.1","0.874308","0.910277"
"jittering_0.2","jittering","0.2","0.802372","0.803557"
"jittering_0.4","jittering","0.4","0.357708","0.669565"
"missing_0","missing","0","0.892490","0.892095"
"missing_0.05","missing","0.05","0.634387","0.785375"
"missing_0.1","missing","0.1","0.623320","0.847826"
"missing_0.2","missing","0.2","0.704348","0.767194"
"missing_0.4","missing","0.4","0.731621","0.758893"
"outlier_0","outlier","0","0.892490","0.892095"
"outlier_0.05","outlier","0.05","0.276680","0.329249"
"outlier_0.1","outlier","0.1","0.223320","0.321739"
"outlier_0.2","outlier","0.2","0.231225","0.276680"
"outlier_0.4","outlier","0.4","0.196443","0.303557"
