Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.901581,0.973518
jittering_0.05,jittering,0.05,0.910277,0.964427
jittering_0.1,jittering,0.1,0.901581,0.955336
jittering_0.2,jittering,0.2,0.829644,0.936759
jittering_0.4,jittering,0.4,0.366798,0.758498
missing_0,missing,0,0.901581,0.973518
missing_0.05,missing,0.05,0.768775,0.955336
missing_0.1,missing,0.1,0.794862,0.892885
missing_0.2,missing,0.2,0.795257,0.875099
missing_0.4,missing,0.4,0.883399,0.901976
outlier_0,outlier,0,0.901581,0.973518
outlier_0.05,outlier,0.05,0.258103,0.409091
outlier_0.1,outlier,0.1,0.260079,0.393281
outlier_0.2,outlier,0.2,0.205534,0.331225
outlier_0.4,outlier,0.4,0.160474,0.303557
scaling_0,scaling,0,0.901581,0.973518
scaling_0.05,scaling,0.05,0.910277,0.964427
scaling_0.1,scaling,0.1,0.901581,0.955336
scaling_0.2,scaling,0.2,0.829644,0.936759
scaling_0.4,scaling,0.4,0.366798,0.758498
trend_0,trend,0,0.901581,0.973518
trend_0.05,trend,0.05,0.910277,0.964427
trend_0.1,trend,0.1,0.901581,0.955336
trend_0.2,trend,0.2,0.829644,0.936759
trend_0.4,trend,0.4,0.366798,0.758498
