"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.955731","0.973123"
"jittering_0.05","jittering","0.05","0.955731","0.973123"
"jittering_0.1","jittering","0.1","0.955731","0.973123"
"jittering_0.2","jittering","0.2","0.964427","0.964032"
"jittering_0.4","jittering","0.4","0.955731","0.946245"
"missing_0","missing","0","0.955731","0.973123"
"missing_0.05","missing","0.05","0.964427","0.964032"
"missing_0.1","missing","0.1","0.946245","0.964427"
"missing_0.2","missing","0.2","0.955731","0.955336"
"missing_0.4","missing","0.4","0.866798","0.964032"
"outlier_0","outlier","0","0.955731","0.973123"
"outlier_0.05","outlier","0.05","0.598024","0.794071"
"outlier_0.1","outlier","0.1","0.537154","0.686561"
"outlier_0.2","outlier","0.2","0.481423","0.552964"
"outlier_0.4","outlier","0.4","0.357312","0.447036"
