"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.902372","0.874308"
"jittering_0.05","jittering","0.05","0.911067","0.883399"
"jittering_0.1","jittering","0.1","0.911067","0.883399"
"jittering_0.2","jittering","0.2","0.902372","0.883399"
"jittering_0.4","jittering","0.4","0.874704","0.874704"
"missing_0","missing","0","0.902372","0.874308"
"missing_0.05","missing","0.05","0.901976","0.883399"
"missing_0.1","missing","0.1","0.893281","0.874308"
"missing_0.2","missing","0.2","0.901581","0.892490"
"missing_0.4","missing","0.4","0.821344","0.784980"
"outlier_0","outlier","0","0.902372","0.874308"
"outlier_0.05","outlier","0.05","0.678261","0.677075"
"outlier_0.1","outlier","0.1","0.643478","0.651383"
"outlier_0.2","outlier","0.2","0.545455","0.526482"
"outlier_0.4","outlier","0.4","0.455731","0.303557"
