Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.955336,0.964427
jittering_0.05,jittering,0.05,0.955336,0.964427
jittering_0.1,jittering,0.1,0.955336,0.964427
jittering_0.2,jittering,0.2,0.946640,0.955731
jittering_0.4,jittering,0.4,0.883794,0.937945
missing_0,missing,0,0.955336,0.964427
missing_0.05,missing,0.05,0.946640,0.964427
missing_0.1,missing,0.1,0.955336,0.964427
missing_0.2,missing,0.2,0.937945,0.955731
missing_0.4,missing,0.4,0.919763,0.946640
outlier_0,outlier,0,0.955336,0.964427
outlier_0.05,outlier,0.05,0.920158,0.946640
outlier_0.1,outlier,0.1,0.733202,0.919368
outlier_0.2,outlier,0.2,0.330435,0.767984
outlier_0.4,outlier,0.4,0.205534,0.527668
scaling_0,scaling,0,0.955336,0.964427
scaling_0.05,scaling,0.05,0.955336,0.964427
scaling_0.1,scaling,0.1,0.955336,0.964427
scaling_0.2,scaling,0.2,0.946640,0.955731
scaling_0.4,scaling,0.4,0.883794,0.937945
trend_0,trend,0,0.955336,0.964427
trend_0.05,trend,0.05,0.955336,0.964427
trend_0.1,trend,0.1,0.955336,0.964427
trend_0.2,trend,0.2,0.946640,0.955731
trend_0.4,trend,0.4,0.883794,0.937945
