Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.919763,0.901581
jittering_0.05,jittering,0.05,0.919763,0.901976
jittering_0.1,jittering,0.1,0.919763,0.901976
jittering_0.2,jittering,0.2,0.919763,0.901976
jittering_0.4,jittering,0.4,0.892885,0.901976
missing_0,missing,0,0.919763,0.901581
missing_0.05,missing,0.05,0.919763,0.910672
missing_0.1,missing,0.1,0.937549,0.910672
missing_0.2,missing,0.2,0.893281,0.910672
missing_0.4,missing,0.4,0.856522,0.901976
outlier_0,outlier,0,0.919763,0.901581
outlier_0.05,outlier,0.05,0.822134,0.874308
outlier_0.1,outlier,0.1,0.715810,0.776680
outlier_0.2,outlier,0.2,0.606719,0.429249
outlier_0.4,outlier,0.4,0.383794,0.303557
scaling_0,scaling,0,0.919763,0.901581
scaling_0.05,scaling,0.05,0.919763,0.901976
scaling_0.1,scaling,0.1,0.919763,0.901976
scaling_0.2,scaling,0.2,0.919763,0.901976
scaling_0.4,scaling,0.4,0.892885,0.901976
trend_0,trend,0,0.919763,0.901581
trend_0.05,trend,0.05,0.919763,0.901976
trend_0.1,trend,0.1,0.919763,0.901976
trend_0.2,trend,0.2,0.919763,0.901976
trend_0.4,trend,0.4,0.892885,0.901976
