Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.750000,0.465000
jittering_0.05,jittering,0.05,0.740000,0.465000
jittering_0.1,jittering,0.1,0.755000,0.490000
jittering_0.2,jittering,0.2,0.785000,0.520000
jittering_0.4,jittering,0.4,0.710000,0.755000
missing_0,missing,0,0.750000,0.465000
missing_0.05,missing,0.05,0.715000,0.490000
missing_0.1,missing,0.1,0.695000,0.455000
missing_0.2,missing,0.2,0.655000,0.385000
missing_0.4,missing,0.4,0.645000,0.420000
outlier_0,outlier,0,0.750000,0.465000
outlier_0.05,outlier,0.05,0.745000,0.505000
outlier_0.1,outlier,0.1,0.750000,0.440000
outlier_0.2,outlier,0.2,0.625000,0.335000
outlier_0.4,outlier,0.4,0.615000,0.380000
scaling_0,scaling,0,0.750000,0.465000
scaling_0.05,scaling,0.05,0.740000,0.465000
scaling_0.1,scaling,0.1,0.755000,0.490000
scaling_0.2,scaling,0.2,0.785000,0.520000
scaling_0.4,scaling,0.4,0.710000,0.755000
trend_0,trend,0,0.750000,0.465000
trend_0.05,trend,0.05,0.740000,0.465000
trend_0.1,trend,0.1,0.755000,0.490000
trend_0.2,trend,0.2,0.785000,0.520000
trend_0.4,trend,0.4,0.710000,0.755000
