"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.945000","0.800000"
"jittering_0.05","jittering","0.05","0.970000","0.950000"
"jittering_0.1","jittering","0.1","0.985000","0.980000"
"jittering_0.2","jittering","0.2","0.850000","0.960000"
"jittering_0.4","jittering","0.4","0.655000","0.820000"
"missing_0","missing","0","0.945000","0.800000"
"missing_0.05","missing","0.05","0.915000","0.830000"
"missing_0.1","missing","0.1","0.940000","0.865000"
"missing_0.2","missing","0.2","0.900000","0.890000"
"missing_0.4","missing","0.4","0.870000","0.940000"
"outlier_0","outlier","0","0.945000","0.800000"
"outlier_0.05","outlier","0.05","0.800000","0.720000"
"outlier_0.1","outlier","0.1","0.730000","0.650000"
"outlier_0.2","outlier","0.2","0.590000","0.455000"
"outlier_0.4","outlier","0.4","0.500000","0.370000"
