Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.980000,0.945000
jittering_0.05,jittering,0.05,0.975000,0.960000
jittering_0.1,jittering,0.1,0.960000,0.955000
jittering_0.2,jittering,0.2,0.835000,0.920000
jittering_0.4,jittering,0.4,0.735000,0.810000
missing_0,missing,0,0.980000,0.945000
missing_0.05,missing,0.05,0.985000,0.930000
missing_0.1,missing,0.1,0.960000,0.925000
missing_0.2,missing,0.2,0.940000,0.950000
missing_0.4,missing,0.4,0.890000,0.910000
outlier_0,outlier,0,0.980000,0.945000
outlier_0.05,outlier,0.05,0.885000,0.940000
outlier_0.1,outlier,0.1,0.755000,0.895000
outlier_0.2,outlier,0.2,0.705000,0.815000
outlier_0.4,outlier,0.4,0.720000,0.785000
scaling_0,scaling,0,0.980000,0.945000
scaling_0.05,scaling,0.05,0.975000,0.960000
scaling_0.1,scaling,0.1,0.960000,0.955000
scaling_0.2,scaling,0.2,0.835000,0.920000
scaling_0.4,scaling,0.4,0.735000,0.810000
trend_0,trend,0,0.980000,0.945000
trend_0.05,trend,0.05,0.975000,0.960000
trend_0.1,trend,0.1,0.960000,0.955000
trend_0.2,trend,0.2,0.835000,0.920000
trend_0.4,trend,0.4,0.735000,0.810000
