Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.995000,0.980000
jittering_0.05,jittering,0.05,0.985000,0.975000
jittering_0.1,jittering,0.1,0.970000,0.975000
jittering_0.2,jittering,0.2,0.825000,0.955000
jittering_0.4,jittering,0.4,0.695000,0.830000
missing_0,missing,0,0.995000,0.980000
missing_0.05,missing,0.05,0.970000,0.985000
missing_0.1,missing,0.1,0.965000,0.980000
missing_0.2,missing,0.2,0.950000,0.970000
missing_0.4,missing,0.4,0.890000,0.950000
outlier_0,outlier,0,0.995000,0.980000
outlier_0.05,outlier,0.05,0.870000,0.940000
outlier_0.1,outlier,0.1,0.760000,0.905000
outlier_0.2,outlier,0.2,0.745000,0.850000
outlier_0.4,outlier,0.4,0.725000,0.810000
scaling_0,scaling,0,0.995000,0.980000
scaling_0.05,scaling,0.05,0.985000,0.975000
scaling_0.1,scaling,0.1,0.970000,0.975000
scaling_0.2,scaling,0.2,0.825000,0.955000
scaling_0.4,scaling,0.4,0.695000,0.830000
trend_0,trend,0,0.995000,0.980000
trend_0.05,trend,0.05,0.985000,0.975000
trend_0.1,trend,0.1,0.970000,0.975000
trend_0.2,trend,0.2,0.825000,0.955000
trend_0.4,trend,0.4,0.695000,0.830000
