"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.940000","0.770000"
"jittering_0.05","jittering","0.05","0.955000","0.780000"
"jittering_0.1","jittering","0.1","0.920000","0.790000"
"jittering_0.2","jittering","0.2","0.835000","0.850000"
"jittering_0.4","jittering","0.4","0.730000","0.830000"
"missing_0","missing","0","0.940000","0.770000"
"missing_0.05","missing","0.05","0.865000","0.850000"
"missing_0.1","missing","0.1","0.845000","0.840000"
"missing_0.2","missing","0.2","0.730000","0.840000"
"missing_0.4","missing","0.4","0.790000","0.765000"
"outlier_0","outlier","0","0.940000","0.770000"
"outlier_0.05","outlier","0.05","0.635000","0.660000"
"outlier_0.1","outlier","0.1","0.545000","0.630000"
"outlier_0.2","outlier","0.2","0.515000","0.565000"
"outlier_0.4","outlier","0.4","0.470000","0.495000"
