"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.905000","0.635000"
"jittering_0.05","jittering","0.05","0.950000","0.630000"
"jittering_0.1","jittering","0.1","0.930000","0.590000"
"jittering_0.2","jittering","0.2","0.820000","0.755000"
"jittering_0.4","jittering","0.4","0.690000","0.775000"
"missing_0","missing","0","0.905000","0.635000"
"missing_0.05","missing","0.05","0.765000","0.725000"
"missing_0.1","missing","0.1","0.780000","0.765000"
"missing_0.2","missing","0.2","0.840000","0.745000"
"missing_0.4","missing","0.4","0.860000","0.735000"
"outlier_0","outlier","0","0.905000","0.635000"
"outlier_0.05","outlier","0.05","0.555000","0.545000"
"outlier_0.1","outlier","0.1","0.540000","0.575000"
"outlier_0.2","outlier","0.2","0.545000","0.555000"
"outlier_0.4","outlier","0.4","0.470000","0.485000"
