"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.940000","0.570000"
"jittering_0.05","jittering","0.05","0.975000","0.565000"
"jittering_0.1","jittering","0.1","0.950000","0.575000"
"jittering_0.2","jittering","0.2","0.815000","0.670000"
"jittering_0.4","jittering","0.4","0.740000","0.705000"
"missing_0","missing","0","0.940000","0.570000"
"missing_0.05","missing","0.05","0.845000","0.770000"
"missing_0.1","missing","0.1","0.865000","0.740000"
"missing_0.2","missing","0.2","0.835000","0.715000"
"missing_0.4","missing","0.4","0.860000","0.685000"
"outlier_0","outlier","0","0.940000","0.570000"
"outlier_0.05","outlier","0.05","0.630000","0.565000"
"outlier_0.1","outlier","0.1","0.535000","0.665000"
"outlier_0.2","outlier","0.2","0.580000","0.575000"
"outlier_0.4","outlier","0.4","0.520000","0.535000"
