"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.995000","0.990000"
"jittering_0.05","jittering","0.05","0.760000","0.930000"
"jittering_0.1","jittering","0.1","0.555000","0.825000"
"jittering_0.2","jittering","0.2","0.510000","0.695000"
"jittering_0.4","jittering","0.4","0.480000","0.530000"
"missing_0","missing","0","0.995000","0.990000"
"missing_0.05","missing","0.05","0.610000","0.565000"
"missing_0.1","missing","0.1","0.625000","0.625000"
"missing_0.2","missing","0.2","0.620000","0.755000"
"missing_0.4","missing","0.4","0.665000","0.735000"
"outlier_0","outlier","0","0.995000","0.990000"
"outlier_0.05","outlier","0.05","0.515000","0.485000"
"outlier_0.1","outlier","0.1","0.425000","0.465000"
"outlier_0.2","outlier","0.2","0.470000","0.485000"
"outlier_0.4","outlier","0.4","0.505000","0.495000"
