"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","1.000000","0.945000"
"jittering_0.05","jittering","0.05","0.835000","0.770000"
"jittering_0.1","jittering","0.1","0.550000","0.785000"
"jittering_0.2","jittering","0.2","0.500000","0.670000"
"jittering_0.4","jittering","0.4","0.480000","0.535000"
"missing_0","missing","0","1.000000","0.945000"
"missing_0.05","missing","0.05","0.650000","0.605000"
"missing_0.1","missing","0.1","0.640000","0.635000"
"missing_0.2","missing","0.2","0.675000","0.735000"
"missing_0.4","missing","0.4","0.680000","0.725000"
"outlier_0","outlier","0","1.000000","0.945000"
"outlier_0.05","outlier","0.05","0.555000","0.425000"
"outlier_0.1","outlier","0.1","0.475000","0.500000"
"outlier_0.2","outlier","0.2","0.445000","0.410000"
"outlier_0.4","outlier","0.4","0.495000","0.505000"
