Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,1.000000,0.720000
jittering_0.05,jittering,0.05,0.995000,0.750000
jittering_0.1,jittering,0.1,0.985000,0.755000
jittering_0.2,jittering,0.2,0.850000,0.750000
jittering_0.4,jittering,0.4,0.695000,0.795000
missing_0,missing,0,1.000000,0.720000
missing_0.05,missing,0.05,0.845000,0.795000
missing_0.1,missing,0.1,0.830000,0.860000
missing_0.2,missing,0.2,0.735000,0.755000
missing_0.4,missing,0.4,0.735000,0.700000
outlier_0,outlier,0,1.000000,0.720000
outlier_0.05,outlier,0.05,0.600000,0.565000
outlier_0.1,outlier,0.1,0.535000,0.545000
outlier_0.2,outlier,0.2,0.560000,0.585000
outlier_0.4,outlier,0.4,0.460000,0.505000
scaling_0,scaling,0,1.000000,0.720000
scaling_0.05,scaling,0.05,0.995000,0.750000
scaling_0.1,scaling,0.1,0.985000,0.755000
scaling_0.2,scaling,0.2,0.850000,0.750000
scaling_0.4,scaling,0.4,0.695000,0.795000
trend_0,trend,0,1.000000,0.720000
trend_0.05,trend,0.05,0.995000,0.750000
trend_0.1,trend,0.1,0.985000,0.755000
trend_0.2,trend,0.2,0.850000,0.750000
trend_0.4,trend,0.4,0.695000,0.795000
