Noise,Noise_Type,Intensity,1nn
jittering_0,jittering,0,0.935000
jittering_0.05,jittering,0.05,0.955000
jittering_0.1,jittering,0.1,0.915000
jittering_0.2,jittering,0.2,0.825000
jittering_0.4,jittering,0.4,0.680000
missing_0,missing,0,0.935000
missing_0.05,missing,0.05,0.810000
missing_0.1,missing,0.1,0.800000
missing_0.2,missing,0.2,0.775000
missing_0.4,missing,0.4,0.710000
outlier_0,outlier,0,0.935000
outlier_0.05,outlier,0.05,0.580000
outlier_0.1,outlier,0.1,0.550000
outlier_0.2,outlier,0.2,0.565000
outlier_0.4,outlier,0.4,0.555000
scaling_0,scaling,0,0.935000
scaling_0.05,scaling,0.05,0.955000
scaling_0.1,scaling,0.1,0.915000
scaling_0.2,scaling,0.2,0.825000
scaling_0.4,scaling,0.4,0.680000
trend_0,trend,0,0.935000
trend_0.05,trend,0.05,0.955000
trend_0.1,trend,0.1,0.915000
trend_0.2,trend,0.2,0.825000
trend_0.4,trend,0.4,0.680000
