Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.940000,0.925000
jittering_0.05,jittering,0.05,0.955000,0.920000
jittering_0.1,jittering,0.1,0.925000,0.915000
jittering_0.2,jittering,0.2,0.815000,0.845000
jittering_0.4,jittering,0.4,0.685000,0.770000
missing_0,missing,0,0.940000,0.925000
missing_0.05,missing,0.05,0.940000,0.925000
missing_0.1,missing,0.1,0.905000,0.910000
missing_0.2,missing,0.2,0.880000,0.905000
missing_0.4,missing,0.4,0.770000,0.850000
outlier_0,outlier,0,0.940000,0.925000
outlier_0.05,outlier,0.05,0.830000,0.920000
outlier_0.1,outlier,0.1,0.670000,0.880000
outlier_0.2,outlier,0.2,0.605000,0.820000
outlier_0.4,outlier,0.4,0.490000,0.690000
scaling_0,scaling,0,0.940000,0.925000
scaling_0.05,scaling,0.05,0.955000,0.920000
scaling_0.1,scaling,0.1,0.925000,0.915000
scaling_0.2,scaling,0.2,0.815000,0.845000
scaling_0.4,scaling,0.4,0.685000,0.770000
trend_0,trend,0,0.940000,0.925000
trend_0.05,trend,0.05,0.955000,0.920000
trend_0.1,trend,0.1,0.925000,0.915000
trend_0.2,trend,0.2,0.815000,0.845000
trend_0.4,trend,0.4,0.685000,0.770000
