"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.935000","0.835000"
"jittering_0.05","jittering","0.05","0.955000","0.835000"
"jittering_0.1","jittering","0.1","0.915000","0.830000"
"jittering_0.2","jittering","0.2","0.825000","0.810000"
"jittering_0.4","jittering","0.4","0.680000","0.760000"
"missing_0","missing","0","0.935000","0.835000"
"missing_0.05","missing","0.05","0.805000","0.805000"
"missing_0.1","missing","0.1","0.805000","0.810000"
"missing_0.2","missing","0.2","0.740000","0.750000"
"missing_0.4","missing","0.4","0.725000","0.755000"
"outlier_0","outlier","0","0.935000","0.835000"
"outlier_0.05","outlier","0.05","0.580000","0.690000"
"outlier_0.1","outlier","0.1","0.550000","0.620000"
"outlier_0.2","outlier","0.2","0.565000","0.590000"
"outlier_0.4","outlier","0.4","0.555000","0.520000"
