"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.950000","0.670000"
"jittering_0.05","jittering","0.05","0.965000","0.690000"
"jittering_0.1","jittering","0.1","0.925000","0.715000"
"jittering_0.2","jittering","0.2","0.845000","0.805000"
"jittering_0.4","jittering","0.4","0.740000","0.815000"
"missing_0","missing","0","0.950000","0.670000"
"missing_0.05","missing","0.05","0.810000","0.805000"
"missing_0.1","missing","0.1","0.875000","0.815000"
"missing_0.2","missing","0.2","0.775000","0.780000"
"missing_0.4","missing","0.4","0.670000","0.745000"
"outlier_0","outlier","0","0.950000","0.670000"
"outlier_0.05","outlier","0.05","0.685000","0.765000"
"outlier_0.1","outlier","0.1","0.635000","0.635000"
"outlier_0.2","outlier","0.2","0.585000","0.575000"
"outlier_0.4","outlier","0.4","0.500000","0.595000"
