Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.909626,0.909982
jittering_0.05,jittering,0.05,0.909804,0.897861
jittering_0.1,jittering,0.1,0.909804,0.879679
jittering_0.2,jittering,0.2,0.909804,0.885740
jittering_0.4,jittering,0.4,0.885561,0.891622
missing_0,missing,0,0.909626,0.909982
missing_0.05,missing,0.05,0.903565,0.891800
missing_0.1,missing,0.1,0.885561,0.897861
missing_0.2,missing,0.2,0.885740,0.885918
missing_0.4,missing,0.4,0.843137,0.861676
outlier_0,outlier,0,0.909626,0.909982
outlier_0.05,outlier,0.05,0.885561,0.897861
outlier_0.1,outlier,0.1,0.897683,0.909804
outlier_0.2,outlier,0.2,0.903565,0.933868
outlier_0.4,outlier,0.4,0.873440,0.903565
scaling_0,scaling,0,0.909626,0.909982
scaling_0.05,scaling,0.05,0.909804,0.897861
scaling_0.1,scaling,0.1,0.909804,0.879679
scaling_0.2,scaling,0.2,0.909804,0.885740
scaling_0.4,scaling,0.4,0.885561,0.891622
trend_0,trend,0,0.909626,0.909982
trend_0.05,trend,0.05,0.909804,0.897861
trend_0.1,trend,0.1,0.909804,0.879679
trend_0.2,trend,0.2,0.909804,0.885740
trend_0.4,trend,0.4,0.885561,0.891622
