"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.909626","0.952050"
"jittering_0.05","jittering","0.05","0.915686","0.952050"
"jittering_0.1","jittering","0.1","0.945989","0.952050"
"jittering_0.2","jittering","0.2","0.915865","0.952050"
"jittering_0.4","jittering","0.4","0.891800","0.879679"
"missing_0","missing","0","0.909626","0.952050"
"missing_0.05","missing","0.05","0.903565","0.945989"
"missing_0.1","missing","0.1","0.915686","0.957932"
"missing_0.2","missing","0.2","0.933868","0.939750"
"missing_0.4","missing","0.4","0.897861","0.879857"
"outlier_0","outlier","0","0.909626","0.952050"
"outlier_0.05","outlier","0.05","0.933868","0.945811"
"outlier_0.1","outlier","0.1","0.921747","0.933690"
"outlier_0.2","outlier","0.2","0.909626","0.945811"
"outlier_0.4","outlier","0.4","0.873440","0.921747"
