"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.921747","0.933868"
"jittering_0.05","jittering","0.05","0.921747","0.933868"
"jittering_0.1","jittering","0.1","0.915686","0.939929"
"jittering_0.2","jittering","0.2","0.909626","0.921925"
"jittering_0.4","jittering","0.4","0.897504","0.909804"
"missing_0","missing","0","0.921747","0.933868"
"missing_0.05","missing","0.05","0.915686","0.939929"
"missing_0.1","missing","0.1","0.909626","0.927807"
"missing_0.2","missing","0.2","0.909804","0.921925"
"missing_0.4","missing","0.4","0.891800","0.933868"
"outlier_0","outlier","0","0.921747","0.933868"
"outlier_0.05","outlier","0.05","0.915686","0.922103"
"outlier_0.1","outlier","0.1","0.885740","0.897683"
"outlier_0.2","outlier","0.2","0.891266","0.879501"
"outlier_0.4","outlier","0.4","0.879144","0.795009"
