Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.909804,0.933868
jittering_0.05,jittering,0.05,0.921925,0.927807
jittering_0.1,jittering,0.1,0.921925,0.933868
jittering_0.2,jittering,0.2,0.909804,0.927807
jittering_0.4,jittering,0.4,0.903743,0.933868
missing_0,missing,0,0.909804,0.933868
missing_0.05,missing,0.05,0.903743,0.939929
missing_0.1,missing,0.1,0.909804,0.939929
missing_0.2,missing,0.2,0.891622,0.933868
missing_0.4,missing,0.4,0.879679,0.897683
outlier_0,outlier,0,0.909804,0.933868
outlier_0.05,outlier,0.05,0.891266,0.940107
outlier_0.1,outlier,0.1,0.879679,0.915865
outlier_0.2,outlier,0.2,0.861319,0.861319
outlier_0.4,outlier,0.4,0.861497,0.759180
scaling_0,scaling,0,0.909804,0.933868
scaling_0.05,scaling,0.05,0.921925,0.927807
scaling_0.1,scaling,0.1,0.921925,0.933868
scaling_0.2,scaling,0.2,0.909804,0.927807
scaling_0.4,scaling,0.4,0.903743,0.933868
trend_0,trend,0,0.909804,0.933868
trend_0.05,trend,0.05,0.921925,0.927807
trend_0.1,trend,0.1,0.921925,0.933868
trend_0.2,trend,0.2,0.909804,0.927807
trend_0.4,trend,0.4,0.903743,0.933868
