"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.909626","0.957932"
"jittering_0.05","jittering","0.05","0.909626","0.957932"
"jittering_0.1","jittering","0.1","0.909804","0.957932"
"jittering_0.2","jittering","0.2","0.909804","0.945989"
"jittering_0.4","jittering","0.4","0.909626","0.945989"
"missing_0","missing","0","0.909626","0.957932"
"missing_0.05","missing","0.05","0.903743","0.963993"
"missing_0.1","missing","0.1","0.903743","0.975936"
"missing_0.2","missing","0.2","0.915686","0.969875"
"missing_0.4","missing","0.4","0.909804","0.951693"
"outlier_0","outlier","0","0.909626","0.957932"
"outlier_0.05","outlier","0.05","0.897326","0.939929"
"outlier_0.1","outlier","0.1","0.855258","0.885740"
"outlier_0.2","outlier","0.2","0.849376","0.825134"
"outlier_0.4","outlier","0.4","0.873619","0.759180"
