"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.915508","0.945811"
"jittering_0.05","jittering","0.05","0.915508","0.939750"
"jittering_0.1","jittering","0.1","0.915508","0.939750"
"jittering_0.2","jittering","0.2","0.903565","0.927807"
"jittering_0.4","jittering","0.4","0.891444","0.939750"
"missing_0","missing","0","0.915508","0.945811"
"missing_0.05","missing","0.05","0.927451","0.933690"
"missing_0.1","missing","0.1","0.915508","0.933690"
"missing_0.2","missing","0.2","0.909447","0.945811"
"missing_0.4","missing","0.4","0.903387","0.951693"
"outlier_0","outlier","0","0.915508","0.945811"
"outlier_0.05","outlier","0.05","0.861319","0.897861"
"outlier_0.1","outlier","0.1","0.843494","0.873619"
"outlier_0.2","outlier","0.2","0.801248","0.807130"
"outlier_0.4","outlier","0.4","0.722816","0.747059"
