Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.831194,0.855615
jittering_0.05,jittering,0.05,0.831194,0.855793
jittering_0.1,jittering,0.1,0.849198,0.861854
jittering_0.2,jittering,0.2,0.879501,0.831551
jittering_0.4,jittering,0.4,0.879501,0.831551
missing_0,missing,0,0.831194,0.855615
missing_0.05,missing,0.05,0.891622,0.825312
missing_0.1,missing,0.1,0.867201,0.867558
missing_0.2,missing,0.2,0.873262,0.861497
missing_0.4,missing,0.4,0.891800,0.879501
outlier_0,outlier,0,0.831194,0.855615
outlier_0.05,outlier,0.05,0.801070,0.861497
outlier_0.1,outlier,0.1,0.813369,0.849376
outlier_0.2,outlier,0.2,0.801070,0.843137
outlier_0.4,outlier,0.4,0.752941,0.747059
scaling_0,scaling,0,0.831194,0.855615
scaling_0.05,scaling,0.05,0.831194,0.855793
scaling_0.1,scaling,0.1,0.849198,0.861854
scaling_0.2,scaling,0.2,0.879501,0.831551
scaling_0.4,scaling,0.4,0.879501,0.831551
trend_0,trend,0,0.831194,0.855615
trend_0.05,trend,0.05,0.831194,0.855793
trend_0.1,trend,0.1,0.849198,0.861854
trend_0.2,trend,0.2,0.879501,0.831551
trend_0.4,trend,0.4,0.879501,0.831551
