Noise,Noise_Type,Intensity,1nn,svm
jittering_0,jittering,0,0.879323,0.843494
jittering_0.05,jittering,0.05,0.873262,0.837433
jittering_0.1,jittering,0.1,0.879501,0.831373
jittering_0.2,jittering,0.2,0.879323,0.819251
jittering_0.4,jittering,0.4,0.891622,0.789127
missing_0,missing,0,0.879323,0.843494
missing_0.05,missing,0.05,0.897326,0.782888
missing_0.1,missing,0.1,0.861497,0.783066
missing_0.2,missing,0.2,0.903743,0.795187
missing_0.4,missing,0.4,0.885383,0.807308
outlier_0,outlier,0,0.879323,0.843494
outlier_0.05,outlier,0.05,0.849733,0.795187
outlier_0.1,outlier,0.1,0.849376,0.765241
outlier_0.2,outlier,0.2,0.783066,0.759002
outlier_0.4,outlier,0.4,0.740820,0.747059
scaling_0,scaling,0,0.879323,0.843494
scaling_0.05,scaling,0.05,0.873262,0.837433
scaling_0.1,scaling,0.1,0.879501,0.831373
scaling_0.2,scaling,0.2,0.879323,0.819251
scaling_0.4,scaling,0.4,0.891622,0.789127
trend_0,trend,0,0.879323,0.843494
trend_0.05,trend,0.05,0.873262,0.837433
trend_0.1,trend,0.1,0.879501,0.831373
trend_0.2,trend,0.2,0.879323,0.819251
trend_0.4,trend,0.4,0.891622,0.789127
