"Noise","Noise_Type","Intensity","1nn","svm"
"jittering_0","jittering","0","0.860963","0.813191"
"jittering_0.05","jittering","0.05","0.879679","0.807308"
"jittering_0.1","jittering","0.1","0.843672","0.825134"
"jittering_0.2","jittering","0.2","0.554724","0.747059"
"jittering_0.4","jittering","0.4","0.494296","0.747059"
"missing_0","missing","0","0.860963","0.813191"
"missing_0.05","missing","0.05","0.771123","0.795187"
"missing_0.1","missing","0.1","0.747594","0.801070"
"missing_0.2","missing","0.2","0.825668","0.837433"
"missing_0.4","missing","0.4","0.843494","0.831194"
"outlier_0","outlier","0","0.860963","0.813191"
"outlier_0.05","outlier","0.05","0.615686","0.747059"
"outlier_0.1","outlier","0.1","0.584135","0.753119"
"outlier_0.2","outlier","0.2","0.548307","0.747059"
"outlier_0.4","outlier","0.4","0.548663","0.747059"
